contact_id;changed;del;name;email;firstname;surname;vcard;words;user_id
2;2015-03-16 22:54:01.0;0;*;*;*;*;*;*;25
3;2015-04-11 15:19:44.0;0;*;*;*;*;*;*;28
4;2014-06-24 22:59:19.0;0;*;*;*;*;*;*;45
5;2014-08-20 19:43:36.0;0;*;*;*;*;*;*;46
6;2014-08-25 14:15:05.0;0;*;*;*;*;*;*;46
7;2016-06-12 23:00:57.0;0;*;*;*;*;*;*;48
8;2016-06-12 23:01:00.0;0;*;*;*;*;*;*;48
9;2015-04-28 15:43:58.0;0;*;*;*;*;*;*;59
10;2015-04-28 15:44:16.0;0;*;*;*;*;*;*;59
11;2015-04-28 15:44:27.0;0;*;*;*;*;*;*;59
12;2015-04-28 15:44:28.0;0;*;*;*;*;*;*;59
13;2015-04-28 15:44:38.0;0;*;*;*;*;*;*;59
14;2015-06-03 13:06:55.0;0;*;*;*;*;*;*;59
15;2015-07-04 14:31:20.0;0;*;*;*;*;*;*;59
16;2011-10-24 13:49:17.0;0;*;*;*;*;*;*;76
17;2011-10-27 08:34:40.0;0;*;*;*;*;*;*;76
18;2011-10-27 08:34:43.0;0;*;*;*;*;*;*;76
19;2011-10-27 08:34:45.0;0;*;*;*;*;*;*;76
21;2011-10-27 08:34:49.0;0;*;*;*;*;*;*;76
22;2011-10-27 08:34:52.0;0;*;*;*;*;*;*;76
25;2012-01-08 01:15:39.0;0;*;*;*;*;*;*;76
27;2012-02-23 12:40:22.0;0;*;*;*;*;*;*;76
28;2012-02-23 12:40:26.0;0;*;*;*;*;*;*;76
29;2012-02-29 19:23:19.0;0;*;*;*;*;*;*;76
30;2012-03-01 01:42:34.0;0;*;*;*;*;*;*;76
31;2012-03-19 12:08:52.0;0;*;*;*;*;*;*;76
32;2012-03-26 21:34:12.0;0;*;*;*;*;*;*;76
33;2013-08-15 23:24:02.0;0;*;*;*;*;*;*;76
34;2013-08-28 20:07:00.0;0;*;*;*;*;*;*;76
36;2013-08-28 20:07:06.0;0;*;*;*;*;*;*;76
37;2013-10-01 13:01:46.0;0;*;*;*;*;*;*;76
38;2013-10-01 13:02:06.0;0;*;*;*;*;*;*;76
39;2013-11-19 11:04:51.0;0;*;*;*;*;*;*;76
40;2013-11-19 11:04:55.0;0;*;*;*;*;*;*;76
41;2013-11-21 01:22:16.0;0;*;*;*;*;*;*;76
42;2013-11-29 11:00:36.0;0;*;*;*;*;*;*;76
43;2013-12-03 14:40:06.0;0;*;*;*;*;*;*;76
44;2013-12-03 19:55:40.0;0;*;*;*;*;*;*;76
45;2014-02-09 20:29:23.0;0;*;*;*;*;*;*;76
46;2014-04-11 23:52:03.0;0;*;*;*;*;*;*;76
47;2014-05-07 12:11:23.0;0;*;*;*;*;*;*;81
48;2014-06-02 17:03:17.0;0;*;*;*;*;*;*;76
49;2014-06-02 17:04:18.0;0;*;*;*;*;*;*;81
50;2014-06-02 17:46:17.0;0;*;*;*;*;*;*;76
51;2014-06-03 21:50:33.0;0;*;*;*;*;*;*;76
53;2014-06-03 21:50:35.0;0;*;*;*;*;*;*;76
54;2014-06-18 01:54:14.0;0;*;*;*;*;*;*;76
56;2014-06-23 12:22:56.0;1;*;*;*;*;*;*;76
58;2014-07-03 14:07:37.0;0;*;*;*;*;*;*;76
60;2014-07-07 17:07:42.0;0;*;*;*;*;*;*;76
61;2014-07-08 11:06:04.0;0;*;*;*;*;*;*;76
62;2014-07-31 09:27:42.0;0;*;*;*;*;*;*;76
63;2014-10-01 10:35:22.0;0;*;*;*;*;*;*;76
64;2014-10-20 18:07:30.0;0;*;*;*;*;*;*;76
65;2014-11-25 09:46:57.0;0;*;*;*;*;*;*;76
66;2015-02-11 12:10:46.0;0;*;*;*;*;*;*;76
67;2015-02-13 14:18:33.0;0;*;*;*;*;*;*;76
68;2015-02-14 01:37:21.0;0;*;*;*;*;*;*;76
69;2015-02-26 10:17:37.0;0;*;*;*;*;*;*;76
70;2015-02-26 10:40:06.0;0;*;*;*;*;*;*;76
71;2015-04-30 10:14:11.0;0;*;*;*;*;*;*;76
72;2015-04-30 10:14:13.0;0;*;*;*;*;*;*;76
73;2015-05-07 10:53:40.0;0;*;*;*;*;*;*;76
74;2015-05-07 10:53:44.0;0;*;*;*;*;*;*;76
75;2015-05-07 10:53:46.0;0;*;*;*;*;*;*;76
