identity_id;user_id;changed;del;standard;name;organization;email;reply-to;bcc;signature;html_signature
1;1;2013-08-07 06:38:55.0;0;1;*;*;*;*;*;NULL;0
2;2;2016-01-05 00:22:55.0;0;1;*;*;*;*;*;NULL;0
3;3;2013-11-25 16:53:50.0;0;1;*;*;*;*;*;NULL;0
4;4;2013-11-25 16:54:36.0;0;1;*;*;*;*;*;NULL;0
5;5;2015-05-12 22:31:31.0;0;1;*;*;*;*;*;NULL;0
6;6;2015-07-10 12:08:28.0;0;1;*;*;*;*;*;NULL;0
7;7;2015-12-07 12:51:11.0;0;1;*;*;*;*;*;NULL;0
8;8;2013-12-10 17:59:12.0;0;1;*;*;*;*;*;NULL;0
9;9;2013-12-10 18:00:22.0;0;1;*;*;*;*;*;NULL;0
10;10;2013-12-10 18:07:09.0;0;1;*;*;*;*;*;NULL;0
11;11;2014-05-22 17:03:57.0;0;1;*;*;*;*;*;NULL;0
12;12;2013-10-07 09:11:20.0;0;1;*;*;*;*;*;NULL;0
13;13;2013-11-27 11:08:00.0;0;1;*;*;*;*;*;NULL;0
14;14;2014-02-02 11:53:39.0;0;1;*;*;*;*;*;NULL;0
15;15;2014-02-10 10:41:03.0;0;1;*;*;*;*;*;NULL;0
16;16;2014-02-17 17:14:53.0;0;1;*;*;*;*;*;NULL;0
17;17;2014-03-14 16:49:07.0;0;1;*;*;*;*;*;NULL;0
18;18;2014-04-02 13:04:06.0;0;1;*;*;*;*;*;NULL;0
19;19;2014-08-07 14:03:23.0;0;1;*;*;*;*;*;NULL;0
20;20;2014-08-14 12:37:06.0;0;1;*;*;*;*;*;NULL;0
21;21;2014-09-04 18:20:14.0;0;1;*;*;*;*;*;NULL;0
22;22;2014-10-07 09:38:15.0;0;1;*;*;*;*;*;NULL;0
23;23;2014-10-07 09:42:42.0;0;1;*;*;*;*;*;NULL;0
24;24;2014-10-09 08:40:46.0;0;1;*;*;*;*;*;NULL;0
25;25;2014-12-29 21:46:37.0;0;1;*;*;*;*;*;NULL;0
26;26;2015-01-10 10:15:18.0;0;1;*;*;*;*;*;NULL;0
27;27;2015-01-10 11:29:08.0;0;1;*;*;*;*;*;NULL;0
28;28;2015-01-19 10:46:45.0;0;1;*;*;*;*;*;NULL;0
29;29;2015-01-19 10:47:46.0;0;1;*;*;*;*;*;NULL;0
30;30;2015-03-18 10:04:03.0;0;1;*;*;*;*;*;NULL;0
31;31;2015-05-20 16:11:31.0;0;1;*;*;*;*;*;NULL;0
32;32;2015-07-14 16:21:45.0;0;1;*;*;*;*;*;NULL;0
33;33;2015-07-14 16:44:22.0;0;1;*;*;*;*;*;NULL;0
34;34;2015-07-30 10:09:46.0;0;1;*;*;*;*;*;NULL;0
35;35;2015-08-10 10:21:26.0;0;1;*;*;*;*;*;NULL;0
36;36;2015-09-28 16:19:20.0;0;1;*;*;*;*;*;NULL;0
37;37;2015-12-02 17:21:13.0;0;1;*;*;*;*;*;NULL;0
38;38;2015-12-11 17:46:50.0;0;1;*;*;*;*;*;NULL;0
39;39;2016-02-22 12:01:52.0;0;1;*;*;*;*;*;NULL;0
40;40;2016-03-15 08:16:52.0;0;1;*;*;*;*;*;NULL;0
41;41;2016-04-06 11:53:23.0;0;1;*;*;*;*;*;NULL;0
42;42;2016-04-21 10:55:51.0;0;1;*;*;*;*;*;NULL;0
43;43;2016-05-03 14:18:11.0;0;1;*;*;*;*;*;NULL;0
44;44;2014-05-16 17:46:32.0;0;1;*;*;*;*;*;NULL;0
45;45;2014-06-24 19:09:32.0;0;1;*;*;*;*;*;NULL;0
46;46;2014-07-15 07:17:35.0;0;1;*;*;*;*;*;NULL;0
47;47;2015-09-25 03:41:08.0;0;1;*;*;*;*;*;NULL;0
48;48;2016-06-12 21:54:54.0;0;1;*;*;*;*;*;NULL;0
49;49;2014-03-24 10:29:27.0;0;1;*;*;*;*;*;NULL;0
50;50;2014-04-10 17:17:38.0;0;1;*;*;*;*;*;NULL;0
51;51;2014-07-18 10:29:31.0;0;1;*;*;*;*;*;NULL;0
52;52;2014-07-18 10:50:45.0;0;1;*;*;*;*;*;NULL;0
53;53;2014-09-15 20:00:32.0;0;1;*;*;*;*;*;NULL;0
54;54;2014-10-10 14:58:47.0;0;1;*;*;*;*;*;NULL;0
55;55;2015-03-31 11:53:40.0;0;1;*;*;*;*;*;NULL;0
56;56;2015-04-02 22:44:45.0;0;1;*;*;*;*;*;NULL;0
57;57;2015-04-03 10:29:39.0;0;1;*;*;*;*;*;NULL;0
58;58;2015-04-09 13:47:36.0;0;1;*;*;*;*;*;NULL;0
59;59;2015-04-10 11:49:29.0;0;1;*;*;*;*;*;NULL;0
60;60;2015-05-01 19:34:07.0;0;1;*;*;*;*;*;NULL;0
61;61;2015-06-12 17:43:43.0;0;1;*;*;*;*;*;NULL;0
62;62;2015-07-30 12:46:32.0;0;1;*;*;*;*;*;NULL;0
63;63;2015-08-09 01:09:39.0;0;1;*;*;*;*;*;NULL;0
64;64;2015-08-13 19:00:03.0;0;1;*;*;*;*;*;NULL;0
65;65;2015-08-13 19:05:01.0;0;1;*;*;*;*;*;NULL;0
